Mã,Tên,C?p,Ngh? quy?t,Mã TP,T?nh / Thành Ph?
00004,Ph??ng Ba ?ình,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00008,Ph??ng Ng?c Hà,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00025,Ph??ng Gi?ng Võ,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00070,"Ph??ng 
Hoàn Ki?m",Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00082,Ph??ng C?a Nam,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00091,Ph??ng Phú Th??ng,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00097,Ph??ng H?ng Hà,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00103,Ph??ng Tây H?,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00118,Ph??ng B? ??,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00127,Ph??ng Vi?t H?ng,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00136,Ph??ng Phúc L?i,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00145,Ph??ng Long Biên,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00160,Ph??ng Ngh?a ?ô,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00166,Ph??ng C?u Gi?y,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00175,Ph??ng Yên Hòa,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00190,Ph??ng Ô Ch? D?a,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00199,Ph??ng Láng,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00226,Ph??ng V?n Mi?u - Qu?c T? Giám,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00229,Ph??ng Kim Liên,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00235,Ph??ng ??ng ?a,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00256,Ph??ng Hai Bà Tr?ng,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00283,Ph??ng V?nh Tuy,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00292,Ph??ng B?ch Mai,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00301,Ph??ng V?nh H?ng,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00316,Ph??ng ??nh Công,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00322,Ph??ng T??ng Mai,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00328,Ph??ng L?nh Nam,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00331,Ph??ng Hoàng Mai,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00337,Ph??ng Hoàng Li?t,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00340,Ph??ng Yên S?,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00352,Ph??ng Ph??ng Li?t,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00364,Ph??ng Kh??ng ?ình,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00367,Ph??ng Thanh Xuân,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00376,Xã Sóc S?n,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00382,Xã Kim Anh,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00385,Xa? Trung Giã ,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00430,Xã ?a Phúc,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00433,Xã N?i Bài,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00454,Xã ?ông Anh,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00466,Xã Phúc Th?nh,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00475,Xã Th? Lâm,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00493,Xã Thiên L?c,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00508,Xã V?nh Thanh,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00541,Xã Phù ??ng,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00562,Xã Thu?n An,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00565,Xã Gia Lâm,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00577,Xã Bát Tràng,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00592,Ph??ng T? Liêm,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00598,Ph??ng Th??ng Cát,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00602,Ph??ng ?ông Ng?c,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00611,Ph??ng Xuân ??nh,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00613,Ph??ng Tây T?u,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00619,Ph??ng Phú Di?n,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00622,Ph??ng Xuân Ph??ng ,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00634,Ph??ng Tây M?,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00637,Ph??ng ??i M?,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00640,Xã Thanh Trì,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00643,Ph??ng Thanh Li?t,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00664,Xã ??i Thanh,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00679,Xã Ng?c H?i,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
00685,Xã Nam Phù,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
04930,Xã Yên Xuân,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
08974,Xã Quang Minh,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
08980,Xã Yên Lãng,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
08995,Xã Ti?n Th?ng,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09022,Xã Mê Linh,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09552,Ph??ng Ki?n H?ng ,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09556,Ph??ng Hà ?ông,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09562,Ph??ng Yên Ngh?a,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09568,Ph??ng Phú L??ng,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09574,Ph??ng S?n Tây,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09604,Ph??ng Tùng Thi?n,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09616,Xã ?oài Ph??ng,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09619,Xã Qu?ng Oai,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09634,Xã C? ?ô,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09661,Xã Minh Châu,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09664,Xã V?t L?i,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09676,Xã B?t B?t,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09694,Xã Su?i Hai,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09700,Xã Ba Vì,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09706,Xã Yên Bài ,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09715,Xã Phúc Th?,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09739,Xã Phúc L?c,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09772,Xã Hát Môn,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09784,Xa? ?an Ph??ng,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09787,Xã Liên Minh,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09817,Xã Ô Diên,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09832,Xã Hoài ??c,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09856,Xã D??ng Hòa,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09871,Xã S?n ??ng,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09877,Xã An Khánh,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09886,Ph??ng D??ng N?i,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09895,Xã Qu?c Oai,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09910,Xã Ki?u Phú,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09931,Xa? H?ng ??o ,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09952,Xã Phú Cát ,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09955,Xã Th?ch Th?t,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09982,Xã H? B?ng,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
09988,Xã Hòa L?c,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10003,Xã Tây Ph??ng,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10015,Ph??ng Ch??ng M?,Ph??ng,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10030,Xã Phú Ngh?a,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10045,Xã Xuân Mai,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10072,Xã Qu?ng B?,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10081,Xã Tr?n Phú ,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10096,Xã Hòa Phú ,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10114,Xã Thanh Oai,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10126,Xã Bình Minh ,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10144,Xã Tam H?ng,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10180,Xã Dân Hòa ,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10183,Xã Th??ng Tín,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
